"Menor 1 ano","1 a 4 anos","5 a 14 anos","60 anos e mais","15 a 59 anos"
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3076754.86761561,12511050.1323844,33920142,20382709,127506362
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
3032571.45969825,12331386.5403017,33676399,21208322,128993783
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2989758.87099217,12157297.1290078,33384596,22077318,130423744
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2948521.1946672,11989611.8053328,33046121,22988618,131795690
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2908967.18830222,11828772.8116978,32671352,23940885,133100672
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2871020.07023082,11674467.9297692,32223917,24933461,134378566
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2834561.60852969,11526216.3914703,31777888,25964619,135557644
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2799464.68907756,11383501.3109224,31334838,27034163,136634835
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
2765587.19670783,11245744.8032922,30897885,28143225,137606571
